Sex,Calls_per_hour,Time_Block
Male,1,1800h
Male,1,2000h
Male,2,1800h
Male,2,1900h
Male,2,2100h
Male,2,2100h
Male,2,2100h
Male,3,1800h
Male,3,2000h
Male,3,2100h
Male,3,2100h
Male,4,1700h
Male,4,1700h
Male,4,1900h
Male,5,1700h
Male,5,1900h
Male,5,2000h
Male,6,1700h
Male,6,1800h
Male,6,2000h
Male,6,2100h
Male,7,1700h
Male,7,2000h
Male,8,1800h
Male,8,1800h
Male,9,2000h
Male,9,2200h
Male,10,1700h
Male,10,1800h
Male,10,1900h
Male,10,2000h
Male,11,1900h
Male,11,2000h
Male,12,1700h
Male,12,1700h
Male,12,1800h
Male,12,2100h
Male,13,1700h
Male,13,2000h
Male,14,1700h
Male,16,1700h
Male,18,1700h
Male,18,2100h
Male,20,1800h
Male,20,2000h
Male,21,1900h
Male,22,1700h
Male,24,1700h
Male,24,1700h
Male,26,1800h
Male,34,2000h
Male,40,2000h
Male,40,2200h
Male,51,1800h
Female,90,1900h
Female,100,1800h
Female,108,2100h
Female,120,1900h
Female,120,1900h
Female,120,1900h
Female,140,2100h
Female,143,1900h
Female,150,2000h
Female,160,2000h
Female,168,2300h
Female,180,1800h
Female,180,1900h
Female,180,1900h
Female,180,2100h
Female,180,2100h
Female,180,2300h
Female,197,1900h
Female,200,2200h
Female,200,2300h
Female,210,2000h
Female,210,2200h
Female,216,2100h
Female,220,2100h
Female,220,2100h
Female,220,2300h
Female,240,1700h
Female,240,1800h
Female,240,1800h
Female,255,1700h
Female,300,2100h
Female,300,2200h
Female,300,2300h
Female,330,1800h
Female,330,2300h
Female,480,2000h
